342,"Arandas","Mars",24.76,42.41,344.97,"Planetocentric  +East  0 - 360","Crater, craters",
346,"Arcadia","Mars",0,44.66,260,"Planetocentric  +East  0 - 360","Albedo Feature",
347,"Arcadia Dorsa","Mars",1952.65,55.9,222.44,"Planetocentric  +East  0 - 360","Dorsum, dorsa",
348,"Arcadia Planitia","Mars",1871.97,47.19,184.31,"Planetocentric  +East  0 - 360","Planitia, planitiae",
352,"Arda Valles","Mars",173.67,-20.4,327.69,"Planetocentric  +East  0 - 360","Vallis, valles",
356,"Arena Colles","Mars",580.12,24.63,82.93,"Planetocentric  +East  0 - 360","Collis, colles",
357,"Arena Dorsum","Mars",372.03,12.71,68.94,"Planetocentric  +East  0 - 360","Dorsum, dorsa",
6783,"[Arena Rupes]","Mars",375,13.35,70.5,"Planetocentric  +East  0 - 360","Rupes, rupēs",
358,"Ares Vallis","Mars",1757.67,10.29,334.39,"Planetocentric  +East  0 - 360","Vallis, valles",
362,"Argas","Mars",3.55,23.33,309.83,"Planetocentric  +East  0 - 360","Crater, craters",
364,"Argentea Planum","Mars",1370.64,-72.49,298.33,"Planetocentric  +East  0 - 360","Planum, plana",
369,"Argyre","Mars",0,-44.66,335,"Planetocentric  +East  0 - 360","Albedo Feature",
370,"Argyre Cavi","Mars",72.33,-48.31,319.88,"Planetocentric  +East  0 - 360","Cavus, cavi",
15236,"Argyre Mons","Mars",60.58,-50.37,311.91,"Planetocentric  +East  0 - 360","Mons, montes",
371,"Argyre Planitia","Mars",892.93,-49.84,316.69,"Planetocentric  +East  0 - 360","Planitia, planitiae",
372,"Argyre Rupes","Mars",335.42,-62.15,291.25,"Planetocentric  +East  0 - 360","Rupes, rupēs",
375,"Ariadnes Colles","Mars",188.01,-34.5,172.78,"Planetocentric  +East  0 - 360","Collis, colles",
377,"Arica","Mars",15.77,-23.8,110.24,"Planetocentric  +East  0 - 360","Crater, craters",
14927,"Arima","Mars",53.59,-15.84,296.32,"Planetocentric  +East  0 - 360","Crater, craters",
378,"Arimanes Rupes","Mars",192.67,-9.84,212.3,"Planetocentric  +East  0 - 360","Rupes, rupēs",
384,"Arkhangelsky","Mars",116.83,-41.09,335.21,"Planetocentric  +East  0 - 360","Crater, craters",
388,"Arnon","Mars",0,47.66,25,"Planetocentric  +East  0 - 360","Albedo Feature",
389,"Arnus Vallis","Mars",311.61,13.97,70.61,"Planetocentric  +East  0 - 360","Vallis, valles",
390,"Aromatum Chaos","Mars",72.8,-1.03,317.03,"Planetocentric  +East  0 - 360","Chaos, chaoses",
392,"Arrhenius","Mars",122.72,-40.04,122.71,"Planetocentric  +East  0 - 360","Crater, craters",
393,"Arsia Chasmata","Mars",97.06,-7.47,240.65,"Planetocentric  +East  0 - 360","Chasma, chasmata",
394,"Arsia Mons","Mars",470,-8.26,239.91,"Planetocentric  +East  0 - 360","Mons, montes",
395,"Arsia Sulci","Mars",500,-6.29,230.19,"Planetocentric  +East  0 - 360","Sulcus, sulci",
396,"Arsinoes Chaos","Mars",200.08,-7.66,332.08,"Planetocentric  +East  0 - 360","Chaos, chaoses",
397,"Arta","Mars",3.96,21.38,305.71,"Planetocentric  +East  0 - 360","Crater, craters",
15166,"Artik","Mars",5.36,-34.8,130.98,"Planetocentric  +East  0 - 360","Crater, craters",
406,"Artynia Catena","Mars",279.28,47.69,240.55,"Planetocentric  +East  0 - 360","Catena, catenae",
15125,"Asau","Mars",25.05,-3.63,154.68,"Planetocentric  +East  0 - 360","Crater, craters",
415,"Ascraeus Chasmata","Mars",105.2,8.77,254.37,"Planetocentric  +East  0 - 360","Chasma, chasmata",
416,"Ascraeus Mensa","Mars",34.86,11.72,252.11,"Planetocentric  +East  0 - 360","Mensa, mensae",
417,"Ascraeus Mons","Mars",456.4,11.92,255.92,"Planetocentric  +East  0 - 360","Mons, montes",
418,"Ascraeus Sulci","Mars",138.7,12.06,251.25,"Planetocentric  +East  0 - 360","Sulcus, sulci",
419,"Ascuris Planum","Mars",617.66,40.59,279.22,"Planetocentric  +East  0 - 360","Planum, plana",
14567,"Asimov","Mars",80.82,-46.97,4.93,"Planetocentric  +East  0 - 360","Crater, craters",
432,"Asopus Vallis","Mars",40.82,-4.29,210.39,"Planetocentric  +East  0 - 360","Vallis, valles",
434,"Aspen","Mars",18.48,-21.39,336.85,"Planetocentric  +East  0 - 360","Crater, craters",
14279,"Aspledon Undae","Mars",215.2,73.06,309.65,"Planetocentric  +East  0 - 360","Unda, undae",
436,"Astapus Colles","Mars",597,35.46,88.08,"Planetocentric  +East  0 - 360","Collis, colles",
453,"Athabasca Valles","Mars",270,8.54,155.01,"Planetocentric  +East  0 - 360","Vallis, valles",
457,"Atlantis Chaos","Mars",181.37,-34.28,182.69,"Planetocentric  +East  0 - 360","Chaos, chaoses",
