name,id,number_of_papers_1970,number_of_citing_papers_1970,number_of_self_citations_1970,total_number_of_citations_1970,total+number_of_refereed_citations_1970,number_of_papers_1971_1980,number_of_citing_papers_1971_1980,number_of_self_citations_1971_1980,total_number_of_citations_1971_1980,total_number_of_refereed_citations_1971_1980,number_of_papers_1981_1990,number_of_citing papers_1981_1990,number_of_self_citations_1981_1990,total_number_of_citations_1981_1990,total_number_of_refereed_citations_1981_1990,number_of_papers_1991_2000,number_of_citing_papers_1991_2000,number_of_self_citations_1991_2000,total_number_of_citations_1991_2000,total_number_of_refereed_citations_1991_2000,number_of_papers_2001_2010,number_of_citing_papers_2001_2010,number_of_self_citations_2001_2010,total_number_of_citations_2001_2010,total_number_of_refereed_citations_2001_2010,number_of_papers_2011_2015,number_of_citing_papers_2011_2015,number_of_self_citations_2011_2015,total_number_of_citations_2011_2015,total_number_of_refereed_citations_2011_2015,number_of_papers_2016_2017,number_of_citing_papers_2016_2017,number_of_self_citations_2016_2017,total_number_of_citations_2016_2017,total_number_of_refereed_citations_2016_2017,number_of_papers,number_of_citing papers,number_of_self_citations,total_number_of_citations,total_number_of_refereed_citations
Candor Mensa,1002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,2,1,0,0,0,0,0,4,2,0,2,1
Baetis Mensa,552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Aromatum Chaos,390,0,0,0,0,0,1,0,0,0,0,1,25,0,25,25,0,0,0,0,0,6,37,2,47,45,0,0,0,0,0,0,0,0,0,0,8,60,2,72,70
Thaumasia Planum,5954,0,0,0,0,0,0,0,0,0,0,2,125,1,131,103,1,1,0,1,0,8,284,1,306,256,1,4,0,4,4,1,0,0,0,0,14,383,8,442,363
Aureum Chaos,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,42,0,42,39,4,10,1,10,9,0,0,0,0,0,6,52,2,52,48
Surinda Valles,5768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baetis Chasma,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Aurorae Planum,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,11,10,0,0,0,0,0,0,0,0,0,0,1,11,0,11,10
Syria Mons,14573,0,0,0,0,0,2,69,0,69,61,4,146,1,170,131,0,0,0,0,0,7,348,2,365,314,0,0,0,0,0,0,0,0,0,0,13,509,9,604,506
Syria Planum,5794,0,0,0,0,0,3,69,0,69,61,9,299,3,399,319,3,48,1,49,45,9,266,2,282,242,2,0,0,0,0,3,0,0,0,0,29,583,23,799,667
Styx Dorsum,5735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noctis Labyrinthus,4324,0,0,0,0,0,6,138,1,152,142,7,37,0,37,34,7,83,0,83,64,5,5,0,5,5,7,49,1,49,47,1,0,0,0,0,33,299,8,326,292
Candor Labes,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
